Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 100 candles from Bitunix for ETHUSDT
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,899 - app.scalping_engine - INFO - [Scalping:1187119989] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,899 - app.scalping_engine - INFO - [Scalping:985106924] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,905 - app.scalping_engine - INFO - [Scalping:7582955848] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,906 - app.scalping_engine - INFO - [Scalping:312485564] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,907 - app.scalping_engine - INFO - [Scalping:1766523174] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,913 - app.scalping_engine - INFO - [Scalping:1087836223] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,914 - app.scalping_engine - INFO - [Scalping:8030312242] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,915 - app.scalping_engine - INFO - [Scalping:7972497694] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,917 - app.scalping_engine - INFO - [Scalping:1156155004] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,918 - app.scalping_engine - INFO - [Scalping:1306878013] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,921 - app.scalping_engine - INFO - [Scalping:1969755249] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,231 - app.scalping_engine - INFO - [Scalping:7675185179] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,232 - app.scalping_engine - INFO - [Scalping:985106924] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,233 - app.scalping_engine - INFO - [Scalping:7582955848] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,234 - app.scalping_engine - INFO - [Scalping:312485564] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,235 - app.scalping_engine - INFO - [Scalping:1766523174] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,239 - app.scalping_engine - INFO - [Scalping:1087836223] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,241 - app.scalping_engine - INFO - [Scalping:8030312242] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,241 - app.scalping_engine - INFO - [Scalping:7972497694] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,242 - app.scalping_engine - INFO - [Scalping:1156155004] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,242 - app.scalping_engine - INFO - [Scalping:1306878013] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,243 - app.scalping_engine - INFO - [Scalping:1969755249] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,244 - app.scalping_engine - INFO - [Scalping:1265990951] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,244 - app.scalping_engine - INFO - [Scalping:5874734020] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,245 - app.scalping_engine - INFO - [Scalping:2107355248] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,245 - app.scalping_engine - INFO - [Scalping:5187148337] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,246 - app.scalping_engine - INFO - [Scalping:7338184122] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,247 - app.scalping_engine - INFO - [Scalping:6954315669] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,248 - app.scalping_engine - INFO - [Scalping:5366384434] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,248 - app.scalping_engine - INFO - [Scalping:8429733088] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:37 vmi3177971 python3[490155]: 2026-04-13 06:38:37,249 - app.scalping_engine - INFO - [Scalping:1187119989] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0013% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:38 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:38:38 vmi3177971 python3[490155]: Γ£à Got 30 candles from Bitunix for ETHUSDT
Apr 13 06:38:38 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT
Apr 13 06:38:38 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:38:38 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT

